group,sex,gender,value
0-4,0,Male,1161461
0-4,1,Female,1101176
5-9,0,Male,1166285
5-9,1,Female,1094842
10-14,0,Male,1299876
10-14,1,Female,1198956
15-19,0,Male,1687212
15-19,1,Female,1538166
20-24,0,Male,1878412
20-24,1,Female,1637308
25-29,0,Male,1727494
25-29,1,Female,1537787
30-34,0,Male,2003466
30-34,1,Female,1851594
35-39,0,Male,2008043
35-39,1,Female,1897535
40-44,0,Male,2221749
40-44,1,Female,2129662
45-49,0,Male,2199709
45-49,1,Female,2160045
50-54,0,Male,2151649
50-54,1,Female,2113797
55-59,0,Male,1929952
55-59,1,Female,1950141
60-64,0,Male,1340994
60-64,1,Female,1399436
65-69,0,Male,1007894
65-69,1,Female,1097971
70-74,0,Male,787328
70-74,1,Female,974465
75-79,0,Male,546923
75-79,1,Female,804824
80-84,0,Male,281767
80-84,1,Female,545552
85-89,0,Male,104660
85-89,1,Female,291151
90-94,0,Male,27716
90-94,1,Female,96568
95-99,0,Male,4983
95-99,1,Female,29644
100+,0,Male,472
100+,1,Female,5726
