date,country,value,value2
1950,India,353104.276,353104276
2021,India,1402807.867,1402807867
2100,India,1533399.698,1533399698
1950,China,539190.005,539190005
2021,China,1425861.543,1425861543
2100,China,771301.056,771301056
1950,United States,147095.867,147095867
2021,United States,336495.769,336495769
2100,United States,393993.251,393993251
1950,Indonesia,68862.949,68862949
2021,Indonesia,272890.093,272890093
2100,Indonesia,297127.721,297127721
1950,Pakistan,37459,37459000
2021,Pakistan,229280.621,229280621
2100,Pakistan,486771.799,486771799
1950,Brazil,53151.9,53151900
2021,Brazil,213827.672,213827672
2100,Brazil,185102,185102000
1950,Nigeria,36835.614,36835614
2021,Nigeria,210874.214,210874214
2100,Nigeria,545705.51,545705510
1950,Bangladesh,39336.197,39336197
2021,Bangladesh,168414.908,168414908
2100,Bangladesh,176964.325,176964325
1950,Russia,101800.621,101800621
2021,Russia,145472.994,145472994
2100,Russia,112203.879,112203879
1950,Mexico,27231.56,27231560
2021,Mexico,126386.142,126386142
2100,Mexico,116089.655,116089655
1950,Japan,83656.263,83656263
2021,Japan,124946.751,124946751
2100,Japan,73845.864,73845864
1950,Ethiopia,17516.675,17516675
2021,Ethiopia,118743.462,118743462
2100,Ethiopia,323282.946,323282946
1950,Philippines,18062.056,18062056
2021,Philippines,113094.332,113094332
2100,Philippines,180236.003,180236003
1950,Egypt,20928.82,20928820
2021,Egypt,108391.549,108391549
2100,Egypt,205119.187,205119187
1950,Vietnam,24829.987,24829987
2021,Vietnam,97093.774,97093774
2100,Vietnam,91255.383,91255383
1950,Congo (DR),12174.049,12174049
2021,Congo (DR),94374.379,94374379
2100,Congo (DR),430995.458,430995458
1950,Iran,16640.746,16640746
2021,Iran,87590.223,87590223
2100,Iran,80145.245,80145245
1950,Turkey,20715.337,20715337
2021,Turkey,84459.174,84459174
2100,Turkey,82774.739,82774739
1950,Germany,71077.882,71077882
2021,Germany,83390.32,83390320
2100,Germany,68984.6,68984600
1950,Thailand,20167.324,20167324
2021,Thailand,71561.955,71561955
2100,Thailand,44766.678,44766678
